method_name,data_type,matrixSize,tile_size,repetitions,status,exec_time_min(ms),exec_time_max(ms),exec_time_mean(ms),exec_time_median(ms),gflops_mean,gflops_median
ijk,d,128,0,5,1,0.129938,0.118017,0.122417,0.118971,34.128564,35.117167,
ikj,d,128,0,5,1,0.256062,0.243187,0.246937,0.245094,16.918997,17.046174,
jik,d,128,0,5,1,0.256062,0.221968,0.239567,0.237226,17.439440,17.611524,
jki,d,128,0,5,1,0.350952,0.336170,0.343171,0.341892,12.174454,12.219991,
kij,d,128,0,5,1,0.226021,0.215054,0.218825,0.217915,19.092525,19.172283,
kji,d,128,0,5,1,0.172138,0.159025,0.162992,0.161886,25.632730,25.807756,
ijk,d,256,0,5,1,0.331879,0.249863,0.265750,0.256777,126.016533,130.420251,
ikj,d,256,0,5,1,0.959873,0.915051,0.936898,0.941992,35.744430,35.551154,
jik,d,256,0,5,1,0.900030,0.891209,0.895977,0.896931,37.376959,37.337217,
jki,d,256,0,5,1,1.152992,1.127958,1.139619,1.138926,29.386042,29.403938,
kij,d,256,0,5,1,0.760078,0.748873,0.755548,0.756025,44.323954,44.295998,
kji,d,256,0,5,1,0.403881,0.277996,0.310096,0.288010,107.995297,116.276995,
ijk,d,512,0,5,1,1.194000,1.110077,1.161294,1.163006,230.926377,230.586387,
ikj,d,512,0,5,1,6.953001,6.309986,6.680467,6.802082,40.142900,39.425180,
jik,d,512,0,5,1,5.311012,5.214930,5.261963,5.262852,50.964499,50.955894,
jki,d,512,0,5,1,6.824017,6.639957,6.740722,6.731987,39.784065,39.835685,
kij,d,512,0,5,1,5.460978,5.384922,5.425605,5.424976,49.427357,49.433084,
kji,d,512,0,5,1,1.316071,1.275063,1.289389,1.286983,207.984743,208.373545,
ijk,d,1024,0,5,1,6.093979,5.815983,5.958167,5.941153,360.250909,361.282604,
ikj,d,1024,0,5,1,41.975021,40.413857,41.331725,41.540146,51.931902,51.671342,
jik,d,1024,0,5,1,38.018942,36.755085,37.218527,37.049055,57.671145,57.934948,
jki,d,1024,0,5,1,39.986849,39.353848,39.694613,39.713144,54.073712,54.048480,
kij,d,1024,0,5,1,35.845995,35.070896,35.611543,35.640955,60.273577,60.223837,
kji,d,1024,0,5,1,7.705927,7.491827,7.592916,7.598162,282.689145,282.493998,
ijk,d,2048,0,5,1,69.729090,69.350958,69.558252,69.561005,246.925050,246.915279,
ikj,d,2048,0,5,1,303.526163,294.012070,298.839417,298.385143,57.474596,57.562098,
jik,d,2048,0,5,1,283.344984,269.022942,274.387100,273.830891,62.596510,62.723657,
jki,d,2048,0,5,1,277.178049,272.863865,275.801507,276.468039,62.275493,62.125354,
kij,d,2048,0,5,1,229.734898,223.920822,226.520083,226.253033,75.824071,75.913568,
kji,d,2048,0,5,1,58.788061,54.034948,56.428974,56.617975,304.376875,303.360811,
ijk,d,4096,0,5,1,561.773062,561.175108,561.549360,561.586142,244.719674,244.703646,
ikj,d,4096,0,5,1,2652.289152,2641.261101,2645.742286,2644.882917,51.940878,51.957754,
jik,d,4096,0,5,1,1991.951942,1940.761089,1966.730833,1970.157146,69.873403,69.751886,
jki,d,4096,0,5,1,2555.165052,2513.686895,2532.889106,2531.319141,54.255110,54.288760,
kij,d,4096,0,5,1,1853.504896,1789.453030,1822.684656,1821.773052,75.395475,75.433203,
kji,d,4096,0,5,1,616.846800,599.393129,606.851404,607.678890,226.451114,226.142751,
ijk,d,8192,0,5,1,4419.753075,4418.776989,4419.238156,4419.183016,248.785985,248.789090,
ikj,d,8192,0,5,1,22032.218933,21966.478109,22004.858017,22005.856037,49.963718,49.961452,
jik,d,8192,0,5,1,15540.091991,15266.671896,15415.398706,15407.453060,71.321186,71.357966,
jki,d,8192,0,5,1,21660.706043,21534.317017,21586.583072,21577.569008,50.931846,50.953123,
kij,d,8192,0,5,1,17643.219948,17458.631039,17567.753185,17583.795071,62.583104,62.526008,
kji,d,8192,0,5,1,4840.942144,4800.590992,4827.974775,4830.878973,227.723750,227.586848,
