method_name,data_type,matrixSize,tile_size,repetitions,status,exec_time_min(ms),exec_time_max(ms),exec_time_mean(ms),exec_time_median(ms),gflops_mean,gflops_median
ijk,d,128,0,5,1,0.126123,0.101805,0.110995,0.107050,37.640721,39.027765,
ikj,d,128,0,5,1,0.231028,0.211000,0.225891,0.229120,18.495311,18.234617,
jik,d,128,0,5,1,0.222921,0.205040,0.220776,0.221968,18.923830,18.822198,
jki,d,128,0,5,1,0.280857,0.260830,0.275417,0.276089,15.169445,15.132527,
kij,d,128,0,5,1,0.202179,0.173807,0.195655,0.200033,21.353510,20.886134,
kji,d,128,0,5,1,0.127792,0.108957,0.111905,0.109911,37.334521,38.011858,
ijk,d,256,0,5,1,1.097918,0.202894,0.430150,0.221968,77.853911,150.872836,
ikj,d,256,0,5,1,1.793146,1.124144,1.189275,1.128197,28.159080,29.683561,
jik,d,256,0,5,1,1.142979,1.127958,1.132813,1.131058,29.562589,29.608476,
jki,d,256,0,5,1,1.336813,1.326084,1.330874,1.330137,25.163082,25.177023,
kij,d,256,0,5,1,0.931978,0.923872,0.927578,0.927925,36.103578,36.090085,
kji,d,256,0,5,1,2.985001,0.279903,0.541709,0.299931,61.820858,111.655493,
ijk,d,512,0,5,1,1.857042,1.033068,1.118855,1.041174,239.685484,257.568215,
ikj,d,512,0,5,1,7.548094,6.660938,6.841248,6.699085,39.199474,40.031333,
jik,d,512,0,5,1,8.955956,7.959127,8.213477,8.068085,32.650401,33.238782,
jki,d,512,0,5,1,8.495092,7.569075,7.758943,7.607937,34.563127,35.249151,
kij,d,512,0,5,1,11.080980,5.676031,6.260503,5.697966,42.835742,47.064747,
kji,d,512,0,5,1,1.379013,1.328945,1.360742,1.362085,197.078803,196.884368,
ijk,d,1024,0,5,1,13.168097,12.242079,12.656689,12.291193,169.588992,174.631956,
ikj,d,1024,0,5,1,55.997849,54.882050,55.359732,55.341959,38.772498,38.784949,
jik,d,1024,0,5,1,66.994905,61.086178,65.172781,64.991951,32.934533,33.026168,
jki,d,1024,0,5,1,58.933020,57.893991,58.490298,58.553934,36.697284,36.657402,
kij,d,1024,0,5,1,46.003819,44.148922,45.454437,45.742035,47.221684,46.924783,
kji,d,1024,0,5,1,10.296106,9.493113,9.821978,9.642124,218.533881,222.610188,
ijk,d,2048,0,5,1,88.278055,86.679935,87.496259,87.570906,196.301820,196.134489,
ikj,d,2048,0,5,1,453.383923,448.015213,450.469190,450.419903,38.128412,38.132584,
jik,d,2048,0,5,1,471.676826,466.536999,469.404762,470.699072,36.590329,36.489715,
jki,d,2048,0,5,1,458.901882,447.301865,453.688080,453.299046,37.857893,37.890384,
kij,d,2048,0,5,1,727.979183,632.677794,673.792752,670.387983,25.491035,25.620499,
kji,d,2048,0,5,1,88.243961,85.216999,86.454283,86.328030,198.667715,198.958264,
ijk,d,4096,0,5,1,635.747910,632.025957,634.048462,634.691000,216.737654,216.518237,
ikj,d,4096,0,5,1,5481.147051,5350.648165,5406.083389,5408.087969,25.419914,25.410492,
jik,d,4096,0,5,1,4352.545023,4157.006025,4243.460655,4242.415905,32.384459,32.392434,
jki,d,4096,0,5,1,3891.835928,3852.724075,3872.913707,3871.836901,35.482891,35.492760,
kij,d,4096,0,5,1,19418.635845,18554.744959,19051.829056,19099.825859,7.213070,7.194944,
kji,d,4096,0,5,1,743.220091,694.231033,703.455426,700.076103,195.353069,196.296054,
