method_name,data_type,matrixSize,tile_size,repetitions,status,exec_time_min(ms),exec_time_max(ms),exec_time_mean(ms),exec_time_median(ms),gflops_mean,gflops_median
ijk,d,128,0,5,1,0.104904,0.069141,0.075362,0.072956,55.438059,57.266231,
ikj,d,128,0,5,1,0.252008,0.233889,0.240174,0.239134,17.395373,17.471053,
jik,d,128,0,5,1,0.262976,0.213861,0.234170,0.223875,17.841367,18.661839,
jki,d,128,0,5,1,0.236034,0.223160,0.227300,0.225067,18.380674,18.562994,
kij,d,128,0,5,1,0.213146,0.164032,0.199470,0.200033,20.945141,20.886134,
kji,d,128,0,5,1,0.216961,0.200033,0.204628,0.202894,20.417131,20.591618,
ijk,d,256,0,5,1,0.262976,0.245094,0.252399,0.252962,132.682586,132.387003,
ikj,d,256,0,5,1,1.233101,1.226902,1.229048,1.228809,27.247839,27.253126,
jik,d,256,0,5,1,0.953913,0.867844,0.910022,0.911951,36.800093,36.722251,
jki,d,256,0,5,1,0.808001,0.792027,0.798897,0.798941,41.918899,41.916625,
kij,d,256,0,5,1,0.519037,0.503063,0.511560,0.509977,65.464313,65.667420,
kji,d,256,0,5,1,0.838041,0.792980,0.807827,0.802994,41.455521,41.705051,
ijk,d,512,0,5,1,1.332045,1.293182,1.304757,1.299143,205.535140,206.423269,
ikj,d,512,0,5,1,7.786989,6.143808,6.466909,6.165981,41.468547,43.492398,
jik,d,512,0,5,1,5.862951,5.411863,5.628109,5.625010,47.648920,47.675175,
jki,d,512,0,5,1,5.964994,5.847931,5.913930,5.921841,45.346045,45.285466,
kij,d,512,0,5,1,2.268076,2.182007,2.212980,2.208233,121.182009,121.442496,
kji,d,512,0,5,1,4.333973,4.134893,4.206592,4.202843,63.750724,63.807601,
ijk,d,1024,0,5,1,6.155968,5.925894,6.017230,6.019115,356.714826,356.603074,
ikj,d,1024,0,5,1,45.660019,45.602083,45.626380,45.626163,47.043729,47.043953,
jik,d,1024,0,5,1,34.809113,33.742905,34.055081,33.854961,63.028335,63.400901,
jki,d,1024,0,5,1,36.006927,35.704136,35.835526,35.841942,59.896848,59.886127,
kij,d,1024,0,5,1,16.634941,16.469002,16.574751,16.569138,129.500289,129.544164,
kji,d,1024,0,5,1,26.360989,24.849176,25.338065,25.069952,84.711880,85.617837,
ijk,d,2048,0,5,1,69.495916,69.135904,69.303968,69.303036,247.831047,247.834380,
ikj,d,2048,0,5,1,200.706959,200.680017,200.688666,200.688124,85.583682,85.583913,
jik,d,2048,0,5,1,506.317139,449.273109,480.826573,476.490974,35.721143,36.046170,
jki,d,2048,0,5,1,259.550810,256.818056,257.713014,257.488966,66.646517,66.704508,
kij,d,2048,0,5,1,139.496803,139.316797,139.396884,139.415026,123.214195,123.198162,
kji,d,2048,0,5,1,226.092100,216.641188,220.200842,219.792128,78.000042,78.145087,
ijk,d,4096,0,5,1,559.031963,558.532000,558.882843,558.929920,245.887269,245.866559,
ikj,d,4096,0,5,1,1589.004040,1588.977098,1588.988131,1588.986874,86.484080,86.484148,
jik,d,4096,0,5,1,4882.482052,4463.766098,4577.177243,4516.510010,30.023346,30.426629,
jki,d,4096,0,5,1,5654.856205,5190.716028,5363.269156,5378.883123,25.622838,25.548459,
kij,d,4096,0,5,1,1085.599899,1067.430973,1077.176874,1077.902794,127.576241,127.490324,
kji,d,4096,0,5,1,8281.315088,7706.064939,7978.062110,7941.817999,17.225007,17.303617,
ijk,d,8192,0,5,1,4395.735979,4394.773006,4395.416715,4395.472050,250.134308,250.131159,
ikj,d,8192,0,5,1,9651.923895,9651.278973,9651.566137,9651.616096,113.913587,113.912997,
jik,d,8192,0,5,1,47130.824089,44097.923994,45523.932890,45781.953096,24.150912,24.014802,
jki,d,8192,0,5,1,87250.130892,85541.463137,86391.547637,86599.615097,12.726297,12.695721,
kij,d,8192,0,5,1,14207.036972,14117.693901,14155.240427,14157.639980,77.670494,77.657330,
kji,d,8192,0,5,1,103459.263802,101261.610985,102373.072126,102715.408087,10.739587,10.703794,
