method_name,data_type,matrixSize,tile_size,repetitions,status,exec_time_min(ms),exec_time_max(ms),exec_time_mean(ms),exec_time_median(ms),gflops_mean,gflops_median
ijk,d,128,0,5,1,0.090837,0.089884,0.090209,0.090122,46.313823,46.358377,
ikj,d,128,0,5,1,0.602007,0.530005,0.538371,0.532866,7.760302,7.840477,
jik,d,128,0,5,1,0.268936,0.263929,0.266032,0.265121,15.704590,15.758513,
jki,d,128,0,5,1,0.174046,0.167847,0.169472,0.169039,24.652530,24.715750,
kij,d,128,0,5,1,0.089169,0.082016,0.085809,0.087976,48.688591,47.489069,
kji,d,128,0,5,1,0.167131,0.163078,0.165636,0.165939,25.223519,25.177394,
ijk,d,256,0,5,1,0.258923,0.255823,0.256994,0.257015,130.310257,130.299268,
ikj,d,256,0,5,1,2.082109,2.068996,2.076106,2.079964,16.130632,16.100712,
jik,d,256,0,5,1,0.998974,0.995159,0.997175,0.997066,33.583775,33.587425,
jki,d,256,0,5,1,0.705004,0.702858,0.703660,0.704050,47.592445,47.566072,
kij,d,256,0,5,1,0.293016,0.287056,0.289895,0.288963,115.520652,115.893243,
kji,d,256,0,5,1,0.744104,0.694036,0.721086,0.739813,46.442295,45.266713,
ijk,d,512,0,5,1,0.798941,0.787020,0.794021,0.797033,337.741015,336.464372,
ikj,d,512,0,5,1,7.402182,6.718874,6.891077,6.726027,38.916022,39.870986,
jik,d,512,0,5,1,4.287958,4.272938,4.279115,4.279137,62.670275,62.669957,
jki,d,512,0,5,1,3.708839,3.482819,3.609267,3.700972,74.301320,72.460246,
kij,d,512,0,5,1,1.136780,1.129866,1.132878,1.132011,236.718534,236.899831,
kji,d,512,0,5,1,3.659964,3.631115,3.644055,3.642082,73.592013,73.631867,
ijk,d,1024,0,5,1,5.348921,5.305052,5.323887,5.314827,403.170677,403.857940,
ikj,d,1024,0,5,1,31.161070,31.122923,31.138724,31.136990,68.931376,68.935215,
jik,d,1024,0,5,1,32.119989,32.067060,32.091661,32.088041,66.884512,66.892057,
jki,d,1024,0,5,1,28.166056,27.667999,27.964397,27.990103,76.755994,76.685502,
kij,d,1024,0,5,1,8.569956,8.524179,8.546504,8.542061,251.147726,251.278364,
kji,d,1024,0,5,1,28.847933,28.476000,28.647206,28.537035,74.926507,75.215770,
ijk,d,2048,0,5,1,67.965984,67.582130,67.768162,67.646980,253.447554,253.901576,
ikj,d,2048,0,5,1,194.512844,193.798780,193.997405,193.920135,88.535591,88.570869,
jik,d,2048,0,5,1,260.917902,255.815029,258.063837,257.549047,66.555915,66.688947,
jki,d,2048,0,5,1,309.355974,303.106070,306.334496,306.611061,56.068367,56.017793,
kij,d,2048,0,5,1,92.406034,92.099905,92.267166,92.364073,186.151537,185.956231,
kji,d,2048,0,5,1,241.411924,239.041805,240.093578,240.007877,71.537419,71.562963,
ijk,d,4096,0,5,1,477.670908,477.551937,477.608594,477.608919,287.729697,287.729502,
ikj,d,4096,0,5,1,1168.749809,1165.461063,1166.973894,1165.735960,117.759426,117.884479,
jik,d,4096,0,5,1,2079.859972,2068.719149,2074.272958,2073.713064,66.250768,66.268655,
jki,d,4096,0,5,1,9532.839060,9118.324995,9346.564640,9386.898041,14.702961,14.639786,
kij,d,4096,0,5,1,703.396082,702.327967,702.858318,702.516079,195.519030,195.614279,
kji,d,4096,0,5,1,2232.225180,2219.348907,2227.843653,2228.000879,61.683941,61.679588,
ijk,d,8192,0,5,1,3972.620010,3972.039938,3972.349124,3972.308159,276.774393,276.777248,
ikj,d,8192,0,5,1,8035.426140,8000.852108,8013.016202,8010.113001,137.207325,137.257055,
jik,d,8192,0,5,1,16793.540955,16568.038940,16681.745269,16690.405130,65.907044,65.872848,
jki,d,8192,0,5,1,108060.223103,107725.434065,107907.067386,107953.717947,10.188809,10.184406,
kij,d,8192,0,5,1,5504.014969,5501.919031,5502.930966,5502.795935,199.792533,199.797436,
kji,d,8192,0,5,1,19493.759871,19396.737099,19450.121468,19442.311049,56.526357,56.549065,
