method_name,data_type,matrixSize,tile_size,repetitions,status,exec_time_min(ms),exec_time_max(ms),exec_time_mean(ms),exec_time_median(ms),gflops_mean,gflops_median
ijk,d,128,0,5,1,0.074382,0.072015,0.072757,0.072496,57.422599,57.629653,
ikj,d,128,0,5,1,0.099688,0.095233,0.096507,0.096358,43.291163,43.358148,
jik,d,128,0,5,1,0.139767,0.138738,0.139352,0.139472,29.980978,29.955244,
jki,d,128,0,5,1,0.185693,0.183955,0.184869,0.184715,22.599332,22.618164,
kij,d,128,0,5,1,0.315519,0.303728,0.308656,0.306395,13.535862,13.635737,
kji,d,128,0,5,1,0.403790,0.398087,0.400818,0.400865,10.423481,10.422262,
ijk,d,256,0,5,1,0.206066,0.203426,0.204722,0.204851,163.582560,163.479354,
ikj,d,256,0,5,1,0.380812,0.377243,0.379424,0.379513,88.262414,88.241758,
jik,d,256,0,5,1,0.877145,0.870911,0.873934,0.873671,38.319689,38.331247,
jki,d,256,0,5,1,1.080185,1.075946,1.078253,1.078463,31.058476,31.052438,
kij,d,256,0,5,1,1.086094,1.061366,1.071654,1.070010,31.249725,31.297741,
kji,d,256,0,5,1,1.651222,1.639241,1.646307,1.646835,20.341824,20.335309,
ijk,d,512,0,5,1,0.977816,0.974560,0.975913,0.975900,274.792153,274.795800,
ikj,d,512,0,5,1,2.763654,2.740785,2.750155,2.749023,97.512060,97.552225,
jik,d,512,0,5,1,6.285732,6.242721,6.268327,6.266567,42.782280,42.794295,
jki,d,512,0,5,1,7.096701,6.505733,6.715590,6.538939,39.932948,41.011746,
kij,d,512,0,5,1,3.877447,3.784375,3.817773,3.813989,70.243396,70.313080,
kji,d,512,0,5,1,7.992323,7.940381,7.968782,7.969452,33.652988,33.650157,
ijk,d,1024,0,5,1,8.701410,8.671016,8.683756,8.680894,247.178189,247.259679,
ikj,d,1024,0,5,1,37.183971,36.977416,37.085565,37.100497,57.877912,57.854617,
jik,d,1024,0,5,1,45.590610,44.912717,45.302340,45.332005,47.380225,47.349220,
jki,d,1024,0,5,1,141.464963,135.340047,138.258492,138.113202,15.524797,15.541129,
kij,d,1024,0,5,1,25.377359,21.641052,23.987578,24.353155,89.481107,88.137865,
kji,d,1024,0,5,1,151.572368,144.654005,148.741341,148.960973,14.430656,14.409379,
ijk,d,2048,0,5,1,68.297825,68.119364,68.224622,68.225525,251.751852,251.748518,
ikj,d,2048,0,5,1,312.174256,310.978368,311.476178,311.490296,55.142820,55.140321,
jik,d,2048,0,5,1,1856.463965,1215.702862,1348.796422,1325.119008,12.734075,12.961609,
jki,d,2048,0,5,1,3529.811515,3400.929694,3434.942231,3424.867196,5.000281,5.014990,
kij,d,2048,0,5,1,316.385926,259.479308,288.369834,295.843493,59.561275,58.056626,
kji,d,2048,0,5,1,3064.176221,2992.187511,3029.889543,3030.934071,5.668746,5.666793,
ijk,d,4096,0,5,1,505.072721,504.255885,504.597588,504.572648,272.340137,272.353598,
ikj,d,4096,0,5,1,2545.476634,2527.084518,2535.985938,2536.363159,54.188856,54.180797,
jik,d,4096,0,5,1,31716.941838,29404.972217,29991.825753,29832.573926,4.581988,4.606447,
jki,d,4096,0,5,1,42365.505246,41645.090245,42026.272381,42058.962336,3.269911,3.267370,
kij,d,4096,0,5,1,3455.997063,3359.654923,3400.304523,3395.307915,40.414667,40.474142,
kji,d,4096,0,5,1,33798.214967,32464.513535,33204.371944,33289.849384,4.138677,4.128050,
