method_name,data_type,matrixSize,tile_size,repetitions,status,exec_time_min(ms),exec_time_max(ms),exec_time_mean(ms),exec_time_median(ms),gflops_mean,gflops_median
ijk,d,128,0,5,1,0.107050,0.105858,0.106812,0.107050,39.114881,39.027765,
ikj,d,128,0,5,1,0.311136,0.305891,0.308644,0.308990,13.536386,13.521193,
jik,d,128,0,5,1,0.282049,0.273943,0.278083,0.277042,15.024017,15.080436,
jki,d,128,0,5,1,0.405073,0.390053,0.398181,0.401020,10.492523,10.418232,
kij,d,128,0,5,1,0.291109,0.288010,0.289570,0.289917,14.428004,14.410746,
kji,d,128,0,5,1,0.205040,0.201941,0.204000,0.204802,20.480040,20.399845,
ijk,d,256,0,5,1,0.283957,0.280857,0.282439,0.282049,118.570234,118.734244,
ikj,d,256,0,5,1,1.219988,1.198053,1.208500,1.209974,27.711116,27.677362,
jik,d,256,0,5,1,1.060009,1.051903,1.054005,1.053095,31.772990,31.800455,
jki,d,256,0,5,1,1.483917,1.450062,1.468788,1.466036,22.800353,22.843163,
kij,d,256,0,5,1,1.108170,1.103878,1.106197,1.106024,30.273894,30.278640,
kji,d,256,0,5,1,0.571966,0.563860,0.568043,0.567913,58.954850,58.968350,
ijk,d,512,0,5,1,0.921965,0.921011,0.921358,0.921011,291.063171,291.172766,
ikj,d,512,0,5,1,8.356094,6.363869,7.722269,8.094072,34.727267,33.132063,
jik,d,512,0,5,1,4.409075,4.400015,4.404501,4.405022,60.886190,60.879000,
jki,d,512,0,5,1,5.922079,5.823135,5.867936,5.863905,45.701469,45.732889,
kij,d,512,0,5,1,4.193068,4.183054,4.188776,4.189014,64.021879,64.018235,
kji,d,512,0,5,1,1.296997,1.290798,1.293269,1.292944,207.360802,207.412944,
ijk,d,1024,0,5,1,6.283045,6.056070,6.158655,6.071091,348.523331,353.550157,
ikj,d,1024,0,5,1,49.409866,47.228813,48.610340,48.991919,44.155936,43.812023,
jik,d,1024,0,5,1,38.741112,38.640022,38.692561,38.702011,55.474102,55.460556,
jki,d,1024,0,5,1,46.470881,46.072006,46.292565,46.288013,46.366734,46.371294,
kij,d,1024,0,5,1,32.457829,31.316996,31.855496,31.906128,67.380368,67.273443,
kji,d,1024,0,5,1,9.880066,9.845972,9.862943,9.862185,217.626224,217.642964,
ijk,d,2048,0,5,1,53.110123,53.021908,53.067728,53.068161,323.655745,323.653101,
ikj,d,2048,0,5,1,366.566896,345.850945,355.829759,350.628138,48.269360,48.985444,
jik,d,2048,0,5,1,293.608904,292.789936,293.202010,293.133020,58.579663,58.593450,
jki,d,2048,0,5,1,365.793943,362.418890,363.909938,363.908052,47.197598,47.197842,
kij,d,2048,0,5,1,221.570015,219.895124,220.773090,220.604897,77.797864,77.857179,
kji,d,2048,0,5,1,101.111889,100.939989,101.020336,100.988865,170.021953,170.074937,
ijk,d,4096,0,5,1,366.760969,356.674910,361.278967,356.825113,380.376907,385.124732,
ikj,d,4096,0,5,1,2628.233910,2601.352930,2616.619023,2618.733168,52.518985,52.476586,
jik,d,4096,0,5,1,2492.362022,2478.366137,2484.734557,2484.613895,55.306582,55.309268,
jki,d,4096,0,5,1,2860.433102,2845.915079,2854.330345,2855.859995,48.145155,48.119367,
kij,d,4096,0,5,1,1804.799080,1797.559977,1802.366257,1802.786112,76.245422,76.227665,
kji,d,4096,0,5,1,699.306965,698.812008,699.078452,699.009895,196.576187,196.595466,
ijk,d,8192,0,5,1,3089.752913,3003.362894,3042.616476,3003.726959,361.348375,366.026784,
ikj,d,8192,0,5,1,19990.959883,19860.259056,19935.351090,19931.899071,55.150497,55.160048,
jik,d,8192,0,5,1,21377.025127,21016.314030,21149.331570,21170.210123,51.984835,51.933567,
jki,d,8192,0,5,1,23430.986881,23402.091980,23414.498134,23412.275076,46.955716,46.960174,
kij,d,8192,0,5,1,16165.494919,16098.423958,16129.323873,16129.801989,68.164328,68.162307,
kji,d,8192,0,5,1,5681.180954,5676.707983,5678.938692,5679.792881,193.600350,193.571234,
