method_name,data_type,matrixSize,tile_size,repetitions,status,exec_time_min(ms),exec_time_max(ms),exec_time_mean(ms),exec_time_median(ms),gflops_mean,gflops_median
ijk,d,128,0,5,1,0.099897,0.097990,0.098727,0.098944,42.317921,42.225221,
ikj,d,128,0,5,1,0.288963,0.285149,0.287359,0.288010,14.539005,14.506181,
jik,d,128,0,5,1,0.303984,0.219822,0.228817,0.221014,18.258798,18.903416,
jki,d,128,0,5,1,0.311852,0.306845,0.309988,0.310183,13.477705,13.469229,
kij,d,128,0,5,1,0.285149,0.282049,0.283566,0.283957,14.733481,14.713238,
kji,d,128,0,5,1,0.142813,0.137091,0.139735,0.139952,29.898888,29.852584,
ijk,d,256,0,5,1,0.339031,0.331879,0.335282,0.334978,99.882909,99.973388,
ikj,d,256,0,5,1,1.394987,1.379967,1.387856,1.387835,24.129946,24.130323,
jik,d,256,0,5,1,1.265049,1.262903,1.264074,1.264095,26.492836,26.492382,
jki,d,256,0,5,1,1.411915,1.404047,1.408252,1.409054,23.780474,23.766939,
kij,d,256,0,5,1,1.420975,1.410961,1.415036,1.414061,23.666463,23.682787,
kji,d,256,0,5,1,0.453949,0.448942,0.451912,0.451088,74.104974,74.240280,
ijk,d,512,0,5,1,1.196861,1.188993,1.192028,1.190901,224.972350,225.185264,
ikj,d,512,0,5,1,7.046938,6.798983,6.915634,6.916046,38.777833,38.775524,
jik,d,512,0,5,1,7.590055,7.578135,7.584333,7.585049,35.358851,35.355516,
jki,d,512,0,5,1,7.288933,7.190943,7.226380,7.226944,37.110323,37.107429,
kij,d,512,0,5,1,5.934954,5.836964,5.904610,5.925894,45.417620,45.254492,
kji,d,512,0,5,1,1.502037,1.492023,1.497680,1.497030,179.059094,179.136868,
ijk,d,1024,0,5,1,12.027979,11.904001,11.979146,11.995792,179.180969,178.932329,
ikj,d,1024,0,5,1,58.743954,56.041956,57.542953,57.572842,37.301441,37.282076,
jik,d,1024,0,5,1,206.542015,201.428890,204.076442,204.184055,10.517799,10.512256,
jki,d,1024,0,5,1,64.772129,63.998938,64.383442,64.357996,33.338309,33.351490,
kij,d,1024,0,5,1,111.258030,105.213881,107.559356,107.007980,19.955819,20.058645,
kji,d,1024,0,5,1,20.009995,18.733025,19.161398,18.801928,112.018711,114.160373,
ijk,d,2048,0,5,1,78.594923,77.696085,78.313893,78.396082,219.318365,219.088435,
ikj,d,2048,0,5,1,507.688046,495.218992,499.915015,499.552011,34.357189,34.382155,
jik,d,2048,0,5,1,3884.212971,3799.243927,3836.055344,3819.895029,4.477431,4.496374,
jki,d,2048,0,5,1,596.158981,589.179039,593.915766,594.434023,28.919379,28.894165,
kij,d,2048,0,5,1,2431.480885,2251.822948,2337.543444,2346.568823,7.347746,7.319485,
kji,d,2048,0,5,1,123.432159,121.350050,122.890841,123.209953,139.763670,139.401683,
ijk,d,4096,0,5,1,618.328094,591.202021,606.941722,606.662035,226.417416,226.521800,
ikj,d,4096,0,5,1,7545.530081,7334.122896,7436.594356,7437.859774,18.479181,18.476038,
jik,d,4096,0,5,1,45273.561001,44550.255060,44902.675824,44816.353083,3.060445,3.066340,
jki,d,4096,0,5,1,7786.727905,7658.092976,7709.681749,7687.376022,17.824624,17.876344,
kij,d,4096,0,5,1,32495.743036,32246.214867,32367.375374,32403.366089,4.245700,4.240985,
kji,d,4096,0,5,1,820.372820,816.991091,819.303968,819.553137,167.730393,167.679398,
