method_name,data_type,matrixSize,tile_size,repetitions,status,exec_time_min(ms),exec_time_max(ms),exec_time_mean(ms),exec_time_median(ms),gflops_mean,gflops_median
ijk,d,128,0,5,1,0.090837,0.087976,0.089559,0.089884,46.650080,46.481344,
ikj,d,128,0,5,1,12.658119,12.536049,12.593898,12.597084,0.331742,0.331658,
jik,d,128,0,5,1,0.424147,0.381947,0.393586,0.391006,10.615019,10.685041,
jki,d,128,0,5,1,10.627985,9.108782,9.761160,9.731054,0.428015,0.429339,
kij,d,128,0,5,1,0.923157,0.831842,0.859282,0.849962,4.862104,4.915418,
kji,d,128,0,5,1,0.262976,0.214100,0.246091,0.248909,16.977112,16.784930,
ijk,d,256,0,5,1,0.265121,0.262022,0.263908,0.263929,126.896248,126.885827,
ikj,d,256,0,5,1,167.847872,156.973839,160.219496,160.103798,0.209019,0.209170,
jik,d,256,0,5,1,4.187107,3.927946,4.083655,4.122019,8.200716,8.124392,
jki,d,256,0,5,1,72.722912,70.167065,71.272091,71.009874,0.469874,0.471609,
kij,d,256,0,5,1,9.978056,9.392023,9.603024,9.555101,3.487328,3.504818,
kji,d,256,0,5,1,1.213074,1.139879,1.185547,1.194000,28.247627,28.047646,
ijk,d,512,0,5,1,2.238989,2.159119,2.199845,2.202034,121.905555,121.784365,
ikj,d,512,0,5,1,1196.301937,1158.609152,1179.125374,1183.660030,0.227434,0.226563,
jik,d,512,0,5,1,32.442808,30.452013,31.295451,31.274080,8.569083,8.574938,
jki,d,512,0,5,1,553.212881,511.924982,537.115617,541.913033,0.499284,0.494864,
kij,d,512,0,5,1,51.981926,49.088001,50.297976,50.334930,5.331692,5.327778,
kji,d,512,0,5,1,9.238005,8.815050,9.035652,9.044170,29.679463,29.651510,
ijk,d,1024,0,5,1,17.863989,16.191006,17.203049,17.426968,124.770617,123.167445,
ikj,d,1024,0,5,1,5062.673807,4860.993147,4980.160085,4989.177942,0.430997,0.430218,
jik,d,1024,0,5,1,327.814102,306.985855,319.322391,321.975231,6.721843,6.666460,
jki,d,1024,0,5,1,4266.824961,3912.754059,4073.148186,3987.035990,0.526972,0.538354,
kij,d,1024,0,5,1,442.194939,426.885843,435.354211,436.619043,4.930319,4.916036,
kji,d,1024,0,5,1,55.556059,53.709984,54.734100,54.768085,39.215682,39.191348,
ijk,d,2048,0,5,1,176.378012,139.841795,155.283971,153.711081,110.608163,111.739992,
ikj,d,2048,0,5,1,34949.858189,34285.109997,34676.661578,34670.980215,0.495309,0.495391,
jik,d,2048,0,5,1,2592.239141,2530.929089,2556.181756,2553.714037,6.719270,6.725763,
jki,d,2048,0,5,1,39905.097961,30863.464832,33994.930181,32459.811926,0.505242,0.529137,
kij,d,2048,0,5,1,4217.736959,4146.706104,4173.412085,4171.022892,4.115499,4.117857,
kji,d,2048,0,5,1,372.180939,357.408047,364.283930,364.829063,47.149142,47.078691,
ijk,d,4096,0,5,1,1357.920170,1178.212881,1256.802884,1257.149935,109.342665,109.312479,
ikj,d,4096,0,5,1,268798.475027,267879.194975,268296.341658,268206.205845,0.512203,0.512375,
jik,d,4096,0,5,1,21069.602966,20919.641018,20976.071358,20952.600956,6.551378,6.558717,
jki,d,4096,0,5,1,396817.539930,270485.950947,311159.875306,277554.718018,0.441645,0.495117,
kij,d,4096,0,5,1,36341.897964,36074.496984,36206.988703,36205.320120,3.795460,3.795635,
kji,d,4096,0,5,1,2646.351099,2551.332951,2604.558793,2600.733042,52.762171,52.839786,
