method_name,data_type,matrixSize,tile_size,repetitions,status,exec_time_min(ms),exec_time_max(ms),exec_time_mean(ms),exec_time_median(ms),gflops_mean,gflops_median
ijk,d,128,0,5,1,0.077699,0.075767,0.076454,0.076272,54.645946,54.776547,
ikj,d,128,0,5,1,1.179545,1.079898,1.118660,1.109604,3.734752,3.765236,
jik,d,128,0,5,1,0.142973,0.141464,0.141990,0.141932,29.424125,29.436034,
jki,d,128,0,5,1,1.700704,1.498017,1.600044,1.597997,2.611128,2.614473,
kij,d,128,0,5,1,1.296945,1.275077,1.289647,1.292926,3.239583,3.231368,
kji,d,128,0,5,1,0.564862,0.551445,0.557168,0.555472,7.498497,7.521387,
ijk,d,256,0,5,1,0.171777,0.169177,0.170194,0.170059,196.768818,196.925119,
ikj,d,256,0,5,1,3.063732,2.580721,2.747266,2.714911,12.189901,12.335173,
jik,d,256,0,5,1,0.744717,0.741332,0.743130,0.743052,45.064656,45.069385,
jki,d,256,0,5,1,4.366660,3.991976,4.183373,4.180191,8.005239,8.011331,
kij,d,256,0,5,1,3.283236,3.242576,3.267543,3.271748,10.248955,10.235780,
kji,d,256,0,5,1,1.530794,1.466013,1.484756,1.479483,22.555156,22.635536,
ijk,d,512,0,5,1,1.021277,1.013752,1.015636,1.015174,264.044684,264.164821,
ikj,d,512,0,5,1,12.261376,11.704894,12.035698,12.103803,22.281492,22.156120,
jik,d,512,0,5,1,5.884343,5.806779,5.838733,5.835242,45.930054,45.957530,
jki,d,512,0,5,1,18.457269,16.903044,17.516134,17.532530,15.310074,15.295757,
kij,d,512,0,5,1,14.628712,14.559379,14.591928,14.591603,18.378196,18.378605,
kji,d,512,0,5,1,6.717491,6.341577,6.556729,6.583473,40.900470,40.734321,
ijk,d,1024,0,5,1,8.445960,8.422012,8.430768,8.430091,254.595444,254.615892,
ikj,d,1024,0,5,1,94.057286,87.681712,90.231937,90.592153,23.787975,23.693388,
jik,d,1024,0,5,1,46.302295,45.126383,45.350556,45.247881,47.329852,47.437251,
jki,d,1024,0,5,1,359.598567,343.776979,351.541529,351.553635,6.105780,6.105569,
kij,d,1024,0,5,1,102.029052,100.763300,101.269873,101.343763,21.195199,21.179745,
kji,d,1024,0,5,1,60.336071,55.434268,56.593258,56.305927,37.927399,38.120944,
ijk,d,2048,0,5,1,67.274194,66.950221,67.157029,67.173824,255.753941,255.689998,
ikj,d,2048,0,5,1,989.705845,968.983117,978.966988,979.069398,17.544693,17.542857,
jik,d,2048,0,5,1,1857.396792,1284.338217,1394.823430,1364.402987,12.313870,12.588418,
jki,d,2048,0,5,1,5933.324302,5866.518662,5904.524338,5904.854319,2.908901,2.908738,
kij,d,2048,0,5,1,1971.111265,1912.592697,1934.747276,1935.534181,8.877477,8.873868,
kji,d,2048,0,5,1,663.090407,643.561794,653.969957,655.087197,26.263706,26.218914,
ijk,d,4096,0,5,1,464.782805,463.832100,464.273064,464.398388,295.994291,295.914413,
ikj,d,4096,0,5,1,9851.581652,9699.298017,9771.892919,9774.789795,14.063005,14.058837,
jik,d,4096,0,5,1,30691.600091,29341.371481,30002.767959,30050.900609,4.580317,4.572980,
jki,d,4096,0,5,1,60504.710988,60294.120002,60397.208226,60391.944984,2.275307,2.275505,
kij,d,4096,0,5,1,28144.432899,27386.444336,27723.486399,27632.397128,4.956887,4.973227,
kji,d,4096,0,5,1,5786.607126,5718.568216,5756.326969,5751.863797,23.873240,23.891765,
